"tamCacheL1=131072|AssocL1=16|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
"   Compulsory fraction","      0.0139","      0.0000","      0.0272","      0.0000","      0.1892","      0.0000
"
"   Capacity fraction","      0.9825","      0.9998","      0.9659","      0.9921","      0.8101","      0.0000
"
"   Conflict fraction","      0.0036","      0.0002","      0.0068","      0.0079","      0.0007","      0.0000
"
"tamCacheL2=262144|AssocL2=16|tamBlocoL2=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   621948488","   219275975","   402672513","   228582991","   174089522","           0
"
"  Fraction of total","      1.0000","      0.3526","      0.6474","      0.3675","      0.2799","      0.0000
"
" Demand Misses","    89561888","       35568","    89526320","    89526317","           3","           0
"
"  Demand miss rate","      0.1440","      0.0002","      0.2223","      0.3917","      0.0000","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","     6220457","           0","           0
"
"   Capacity misses","    83286994","       34648","    83252346","    83252343","           3","           0
"
"   Conflict misses","       53517","           0","       53517","       53517","           0","           0
"
"   Compulsory fraction","      0.0695","      0.0259","      0.0695","      0.0695","      0.0000","      0.0000
"
"   Capacity fraction","      0.9299","      0.9741","      0.9299","      0.9299","      1.0000","      0.0000
"
"   Conflict fraction","      0.0006","      0.0000","      0.0006","      0.0006","      0.0000","      0.0000
"
""
"tamCacheL1=4096|AssocL1=8|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   221823543","    94982309","   126841234","   103467230","    23374004","           0
"
"  Demand miss rate","      0.0785","      0.0475","      0.1533","      0.1584","      0.1343","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","   209204293","    92282002","   116922291","   100855116","    16067175","           0
"
"   Conflict misses","     6397873","     2699387","     3698486","     2611799","     1086687","           0
"
"   Compulsory fraction","      0.0280","      0.0000","      0.0490","      0.0000","      0.2661","      0.0000
"
