"tamCacheL1=131072|AssocL1=16|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   154294368","      114463","   154179905","   112807720","    41372185","           0
"
"  Demand miss rate","      0.0546","      0.0001","      0.1863","      0.1727","      0.2376","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   129179344","      107574","   129071770","   112590740","    16481030","           0
"
"   Conflict misses","      230794","        3974","      226820","      216118","       10702","           0
"
"   Compulsory fraction","      0.1613","      0.0255","      0.1614","      0.0000","      0.6014","      0.0000
"
"   Capacity fraction","      0.8372","      0.9398","      0.8372","      0.9981","      0.3984","      0.0000
"
"   Conflict fraction","      0.0015","      0.0347","      0.0015","      0.0019","      0.0003","      0.0000
"
""
"tamCacheL1=1024|AssocL1=4|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   359725662","   113985696","   245739966","   217387903","    28352063","           0
"
"  Demand miss rate","      0.1272","      0.0570","      0.2971","      0.3328","      0.1629","      0.0000
"
